id,title,description,availability,condition,price,link,image_link,brand
W001,Landing Page,"Single page website perfect for promotions & campaigns (Code: W001 — starting price, final quote confirmed in chat before payment)",in stock,new,30000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
W002,Basic Website (5-page),"Simple 5 page website perfect for small businesses (Code: W002 — starting price, final quote confirmed in chat before payment)",in stock,new,50000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
W003,Business Website,"Professional website for your business (Code: W003 — starting price, final quote confirmed in chat before payment)",in stock,new,80000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
W004,E-commerce Website,"Full online store where customers can buy your products (Code: W004 — starting price, final quote confirmed in chat before payment)",in stock,new,150000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
D001,Logo Design,"Professional logo for your brand (Code: D001 — starting price, final quote confirmed in chat before payment)",in stock,new,5000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
D002,Flyer & Banner Design,"Eye catching flyers & banners for your business (Code: D002 — starting price, final quote confirmed in chat before payment)",in stock,new,2000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
D003,Social Media Graphics,"Beautiful graphics for all your social media platforms (Code: D003 — starting price, final quote confirmed in chat before payment)",in stock,new,2000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
D004,Business Card Design,"Professional business card design (Code: D004 — starting price, final quote confirmed in chat before payment)",in stock,new,3000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
D005,Full Brand Package,"Complete brand identity including logo colors fonts & more (Code: D005 — starting price, final quote confirmed in chat before payment)",in stock,new,30000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
T001,TikTok Followers (1K),1K followers delivered to your TikTok account. Instant start up to 8 hours max. (Code: T001),in stock,new,12000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
T002,TikTok Likes (1K),1K likes on your TikTok post. Send the post link when ordering. (Code: T002),in stock,new,6000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
T003,TikTok Views (1K),1K views on your TikTok video. Send the video link when ordering. (Code: T003),in stock,new,250 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
T004,TikTok Shares (1K),1K shares on your TikTok post. Send the post link when ordering. (Code: T004),in stock,new,2500 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
T005,TikTok Saves (1K),1K saves on your TikTok post. Send the post link when ordering. (Code: T005),in stock,new,2500 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
T006,TikTok Starter Package,500 Followers + 500 Likes + 1K Views in one order. Best value starter. (Code: T006),in stock,new,10000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
T007,TikTok Growth Package,1K Followers + 1K Likes + 5K Views in one order. (Code: T007),in stock,new,18000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
T008,TikTok Pro Package,2K Followers + 2K Likes + 10K Views in one order. Maximum growth. (Code: T008),in stock,new,35000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
I001,Instagram Followers (1K),1K followers delivered to your Instagram account. Instant start up to 8 hours max. (Code: I001),in stock,new,4000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
I002,Instagram Likes (1K),1K likes on your Instagram post. Send the post link when ordering. (Code: I002),in stock,new,1000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
I003,Instagram Views (1K),1K views on your Instagram reel or video. Send the link when ordering. (Code: I003),in stock,new,1000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
I004,Instagram Comments (1K),1K comments on your Instagram post. Send the post link when ordering. (Code: I004),in stock,new,4000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
I005,Instagram Saves (1K),1K saves on your Instagram post. Send the post link when ordering. (Code: I005),in stock,new,250 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
I006,Instagram Shares (1K),1K shares on your Instagram post. Send the post link when ordering. (Code: I006),in stock,new,500 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
I007,Instagram Starter,300 Followers + 500 Likes + 1K Views in one order. (Code: I007),in stock,new,4000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
I008,Instagram Growth,700 Followers + 1K Likes + 2K Views in one order. (Code: I008),in stock,new,7000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
I009,Instagram Pro,1.5K Followers + 2K Likes + 5K Views in one order. (Code: I009),in stock,new,13000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
Y001,YouTube Subscribers (1K),1K subscribers to your YouTube channel. Send your channel link when ordering. (Code: Y001),in stock,new,10000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
