category_id,category_title,product_id,name,price,price_min,price_max,sizes,description,image_url,stock
webdesign,🌐 Website Design,W001,Landing Page,,30000,50000,,Single page website perfect for promotions & campaigns,,
webdesign,🌐 Website Design,W002,Basic Website (5-page),,50000,80000,,Simple 5 page website perfect for small businesses,,
webdesign,🌐 Website Design,W003,Business Website,,80000,150000,,Professional website for your business,,
webdesign,🌐 Website Design,W004,E-commerce Website,,150000,400000,,Full online store where customers can buy your products,,
graphics,🎨 Graphic Design,D001,Logo Design,,5000,15000,,Professional logo for your brand,,
graphics,🎨 Graphic Design,D002,Flyer & Banner Design,,2000,5000,,Eye catching flyers & banners for your business,,
graphics,🎨 Graphic Design,D003,Social Media Graphics,,2000,5000,,Beautiful graphics for all your social media platforms,,
graphics,🎨 Graphic Design,D004,Business Card Design,,3000,8000,,Professional business card design,,
graphics,🎨 Graphic Design,D005,Full Brand Package,,30000,80000,,Complete brand identity including logo colors fonts & more,,
tiktok,🎵 TikTok Boost,T001,TikTok Followers (1K),12000,,,,1K followers delivered to your TikTok account. Instant start up to 8 hours max.,,
tiktok,🎵 TikTok Boost,T002,TikTok Likes (1K),6000,,,,1K likes on your TikTok post. Send the post link when ordering.,,
tiktok,🎵 TikTok Boost,T003,TikTok Views (1K),250,,,,1K views on your TikTok video. Send the video link when ordering.,,
tiktok,🎵 TikTok Boost,T004,TikTok Shares (1K),2500,,,,1K shares on your TikTok post. Send the post link when ordering.,,
tiktok,🎵 TikTok Boost,T005,TikTok Saves (1K),2500,,,,1K saves on your TikTok post. Send the post link when ordering.,,
tiktok,🎵 TikTok Boost,T006,TikTok Starter Package,10000,,,,500 Followers + 500 Likes + 1K Views in one order. Best value starter.,,
tiktok,🎵 TikTok Boost,T007,TikTok Growth Package,18000,,,,1K Followers + 1K Likes + 5K Views in one order.,,
tiktok,🎵 TikTok Boost,T008,TikTok Pro Package,35000,,,,2K Followers + 2K Likes + 10K Views in one order. Maximum growth.,,
instagram,📸 Instagram Boost,I001,Instagram Followers (1K),4000,,,,1K followers delivered to your Instagram account. Instant start up to 8 hours max.,,
instagram,📸 Instagram Boost,I002,Instagram Likes (1K),1000,,,,1K likes on your Instagram post. Send the post link when ordering.,,
instagram,📸 Instagram Boost,I003,Instagram Views (1K),1000,,,,1K views on your Instagram reel or video. Send the link when ordering.,,
instagram,📸 Instagram Boost,I004,Instagram Comments (1K),4000,,,,1K comments on your Instagram post. Send the post link when ordering.,,
instagram,📸 Instagram Boost,I005,Instagram Saves (1K),250,,,,1K saves on your Instagram post. Send the post link when ordering.,,
instagram,📸 Instagram Boost,I006,Instagram Shares (1K),500,,,,1K shares on your Instagram post. Send the post link when ordering.,,
instagram,📸 Instagram Boost,I007,Instagram Starter,4000,,,,300 Followers + 500 Likes + 1K Views in one order.,,
instagram,📸 Instagram Boost,I008,Instagram Growth,7000,,,,700 Followers + 1K Likes + 2K Views in one order.,,
instagram,📸 Instagram Boost,I009,Instagram Pro,13000,,,,1.5K Followers + 2K Likes + 5K Views in one order.,,
youtube,▶️ YouTube Boost,Y001,YouTube Subscribers (1K),10000,,,,1K subscribers to your YouTube channel. Send your channel link when ordering.,,
youtube,▶️ YouTube Boost,Y002,YouTube Views (1K),4000,,,,1K views on your YouTube video. Send the video link when ordering.,,
youtube,▶️ YouTube Boost,Y003,YouTube Likes (1K),3500,,,,1K likes on your YouTube video. Send the video link when ordering.,,
youtube,▶️ YouTube Boost,Y004,YouTube Shares (1K),4000,,,,1K shares on your YouTube video. Send the video link when ordering.,,
youtube,▶️ YouTube Boost,Y005,YouTube Starter,5000,,,,100 Subs + 500 Views + 200 Likes in one order.,,
youtube,▶️ YouTube Boost,Y006,YouTube Growth,10000,,,,300 Subs + 1K Views + 500 Likes in one order.,,
youtube,▶️ YouTube Boost,Y007,YouTube Pro,22000,,,,700 Subs + 3K Views + 1K Likes in one order.,,
twitter,𝕏 Twitter Boost,X001,Twitter Followers (1K),16000,,,,1K followers delivered to your Twitter X account. Send your handle when ordering.,,
twitter,𝕏 Twitter Boost,X002,Twitter Likes (1K),9000,,,,1K likes on your X post. Send the post link when ordering.,,
twitter,𝕏 Twitter Boost,X003,Twitter Retweets (1K),2500,,,,1K retweets on your X post. Send the post link when ordering.,,
twitter,𝕏 Twitter Boost,X004,Twitter Starter,8000,,,,200 Followers + 300 Likes + 100 Retweets in one order.,,
twitter,𝕏 Twitter Boost,X005,Twitter Growth,16000,,,,500 Followers + 700 Likes + 300 Retweets in one order.,,
twitter,𝕏 Twitter Boost,X006,Twitter Pro,30000,,,,1K Followers + 1.5K Likes + 700 Retweets in one order.,,
facebook,📘 Facebook Boost,F001,Facebook Followers (1K),10000,,,,1K followers delivered to your Facebook page or profile.,,
facebook,📘 Facebook Boost,F002,Facebook Likes (1K),9000,,,,1K likes on your Facebook post or page.,,
facebook,📘 Facebook Boost,F003,Facebook Views (1K),6000,,,,1K views on your Facebook video.,,
facebook,📘 Facebook Boost,F004,Facebook Starter,11000,,,,200 Followers + 300 Likes + 1K Views in one order.,,
facebook,📘 Facebook Boost,F005,Facebook Growth,26000,,,,500 Followers + 700 Likes + 3K Views in one order.,,
facebook,📘 Facebook Boost,F006,Facebook Pro,46000,,,,1K Followers + 1.5K Likes + 5K Views in one order.,,
telegram,✈️ Telegram Boost,TG001,Telegram Members (1K),4000,,,,1K members added to your Telegram channel or group.,,
telegram,✈️ Telegram Boost,TG002,Telegram Views (1K),2500,,,,1K views and reactions on your Telegram posts.,,
telegram,✈️ Telegram Boost,TG003,Telegram Starter,3000,,,,200 Members + 500 Views in one order.,,
telegram,✈️ Telegram Boost,TG004,Telegram Growth,6000,,,,500 Members + 1K Views in one order.,,
telegram,✈️ Telegram Boost,TG005,Telegram Pro,10000,,,,1K Members + 2K Views in one order.,,
traffic,🌍 Website Traffic,TR001,Website Traffic (1K),6000,,,,1K visits driven to your website. Send your website link when ordering.,,
traffic,🌍 Website Traffic,TR002,Traffic Starter (500),4000,,,,500 visits driven to your website.,,
traffic,🌍 Website Traffic,TR003,Traffic Growth (1K),7000,,,,1K visits driven to your website.,,
traffic,🌍 Website Traffic,TR004,Traffic Pro (3K),16000,,,,3K visits driven to your website. Best for launches and promos.,,
bundles,🎁 Bundle Deals,B001,Starter Bundle,15000,,,,Starter package on any 2 platforms of your choice. Tell us which platforms when ordering.,,
bundles,🎁 Bundle Deals,B002,Growth Bundle,28000,,,,Growth package on any 2 platforms of your choice. Tell us which platforms when ordering.,,
bundles,🎁 Bundle Deals,B003,Pro Bundle,65000,,,,Pro package on any 3 platforms of your choice. Tell us which platforms when ordering.,,
